1. 손익계산서,,,,,,,,,,,,,,,,,,,,
구분,Jan-25A,Feb-25A,Mar-25A,Apr-25A,May-25A,Jun-25A,Jul-25A,Aug-25A,Sep-25A,Oct-25A,Nov-25A,24-Nov,Dec-25F,24-Dec,당월 YoY,YTD,YTD YoY,,,
1.TAG매출,"$2,205 ","$2,255 ","$3,047 ","$2,578 ","$2,592 ","$2,746 ","$3,194 ","$3,062 ","$3,298 ","$3,982 ","7,618","$3,203 ","$8,086 ","$3,687 ","4,399","44,172","9,760",,,
Ecommerce (US),"$1,732 ","$1,641 ","$2,162 ","$1,868 ","$2,183 ","$2,431 ","$2,705 ","$2,459 ","$2,735 ","$3,266 ","7,276","$2,828 ","$7,704 ","$3,163 ","4,541","38,162","13,311",,,
Ecommerce (EU),$129 ,$118 ,$145 ,$138 ,$122 ,$115 ,$172 ,$76 ,$53 ,$82 ,146,$200 ,$197 ,$225 ,-28,"1,493",-785,,,
Wholesale,$255 ,$450 ,$657 ,$510 ,$236 ,$166 ,$220 ,$475 ,$418 ,$564 ,119,$113 ,$65 ,$184 ,-119,"4,135","-2,445",,,
Other Income,- ,,,,,,,,,$8 ,62,0,$19 ,$0 ,19,89,-128,,,
License,$89 ,$46 ,$83 ,$62 ,$51 ,$34 ,$96 ,$52 ,$92 ,$62 ,14,$61 ,$102 ,$115 ,-13,293,-193,,,
2. 실판매출,"$1,336 ","$1,246 ","$1,817 ","$1,633 ","$1,696 ","$1,700 ","$1,631 ","$1,590 ","$1,695 ","$1,936 ","3,003","$1,893 ","$3,535 ","$2,275 ","1,260","22,298","1,489",,,
Ecommerce (US),"$1,069 ",$957 ,"$1,373 ","$1,267 ","$1,489 ","$1,559 ","$1,386 ","$1,226 ","$1,396 ","$1,615 ","2,839","$1,634 ","$3,327 ","$1,959 ","1,368","19,503","4,255",,,
Ecommerce (EU),$90 ,$65 ,$87 ,$94 ,$83 ,$69 ,$87 ,$42 ,$30 ,$48 ,54,$157 ,$70 ,$176 ,-106,819,"-1,022",,,
Wholesale,$89 ,$178 ,$274 ,$210 ,$73 ,$37 ,$63 ,$166 ,$172 ,$202 ,34,$41 ,$17 ,$26 ,-9,"1,515",-1013,,,
Other Income,- ,- ,- ,- ,- ,- ,- ,$103 ,$5 ,$8 ,14,,$19 ,$0 ,19,149,-67,,,
License,$89 ,$46 ,$83 ,$62 ,$51 ,$34 ,$96 ,$52 ,$92 ,$62 ,62,$61 ,$102 ,$114 ,-12,312,-145,,,
할인율,41.00%,45.70%,41.50%,37.60%,35.30%,38.60%,50.40%,52.40%,50.20%,52.30%,61.20%,41.70%,57.10%,39.50%,+17.6%p,49.50%,+9.8%p,,,
3. 매출원가,$382 ,$390 ,$543 ,$538 ,$544 ,$570 ,$651 ,$691 ,$694 ,$812 ,"1,573",$663 ,"$1,684 ",$650 ,"1,034","8,798","2,434",,,
Ecommerce (US),$365 ,$326 ,$474 ,$410 ,$469 ,$513 ,$576 ,$501 ,$576 ,$675 ,"1,508",$549 ,"$1,628 ",$556 ,"1,072","7,747","3,447",,,
Ecommerce (EU),$27 ,$25 ,$35 ,$26 ,$28 ,$25 ,$34 ,$17 ,$15 ,$15 ,38,$38 ,$42 ,$44 ,-2,328,-101,,,
Wholesale,$40 ,$84 ,$130 ,$101 ,$47 ,$32 ,$41 ,$89 ,$102 ,$122 ,26,$22 ,$14 ,$50 ,-36,828,-416,,,
Other Income,($49),($46),($95),- ,- ,- ,- ,$84 ,- ,- ,0,53,0,$0 ,0,-106,-497,,,
생산원가율,18.10%,17.70%,18.30%,21.40%,21.40%,21.00%,21.00%,23.00%,21.60%,20.80%,20.60%,20.70%,20.80%,19.90%,+0.9%p,20.30%,+1.0%p,,,
매출총이익,$954 ,$856 ,"$1,273 ","$1,096 ","$1,152 ","$1,130 ",$980 ,$900 ,"$1,001 ","$1,124 ","1,431","$1,230 ","$1,851 ","$1,625 ",226,"13,500",-671,,,
4. 직접비,$479 ,$441 ,$585 ,$590 ,$592 ,$567 ,$568 ,$534 ,$727 ,$869 ,857,$567 ,"$1,770 ",$719 ,"1,051","8,570","1,549",,,
SEM광고비,$194 ,$186 ,$259 ,$253 ,$273 ,$260 ,$213 ,$224 ,$375 ,$459 ,457,$268 ,$841 ,$348 ,493,"3,994",849,,,
운반비,$72 ,$56 ,$67 ,$77 ,$77 ,$82 ,$91 ,$68 ,$95 ,$120 ,88,$72 ,$351 ,$114 ,237,"1,244",116,,,
보관료,$69 ,$70 ,$99 ,$99 ,$98 ,$89 ,$111 ,$112 ,$103 ,$122 ,133,$79 ,$241 ,$81 ,160,"1,346",285,,,
지급수수료,$145 ,$129 ,$161 ,$160 ,$145 ,$137 ,$153 ,$129 ,$153 ,$168 ,178,$149 ,$337 ,$174 ,163,"1,986",301,,,
기타비용,,,,,,,,,,,,,,,,,,,,
직접비용율,35.90%,35.40%,32.20%,36.10%,34.90%,33.40%,34.80%,33.60%,42.90%,44.90%,28.50%,30.00%,50.10%,39.80%,+10.3%p,38.43%,+1.3%p,,,
직접이익,$474 ,$415 ,$688 ,$506 ,$560 ,$563 ,$412 ,$365 ,$274 ,$255 ,574,$662 ,$81 ,$906 ,-825,"4,930","-2,221",,,
5. 영업비,$632 ,$524 ,$693 ,$566 ,$547 ,$633 ,$630 ,$602 ,$534 ,$643 ,528,$716 ,$573 ,"$1,005 ",-432,"7,114",45,,,
급여,$381 ,$321 ,$365 ,$362 ,$214 ,$374 ,$412 ,$339 ,$342 ,$361 ,315,$429 ,$350 ,$276 ,74,"4,137",19,,,
광고선전비,$118 ,$70 ,$122 ,$54 ,$60 ,$87 ,$78 ,$88 ,$77 ,$62 ,113,$90 ,$107 ,$116 ,-9,1036,338,,,
출장비/식대,$5 ,$5 ,$24 ,$5 ,$12 ,$1 ,$1 ,$1 ,$1 ,$2 ,4,$23 ,$7 ,$14 ,-7,68,-72,,,
사무실임차료,$25 ,$25 ,$25 ,$25 ,$25 ,$25 ,$25 ,$25 ,$25 ,$25 ,25,$25 ,$25 ,$25 ,0,295,0,,,
샘플,$38 ,$5 ,$3 ,$19 ,$2 ,$5 ,$5 ,$2 ,$10 ,$57 ,1,$6 ,$4 ,$8 ,-4,152,-6,,,
지급수수료,$53 ,$82 ,$57 ,$90 ,$218 ,$112 ,$90 ,$118 ,$105 ,$121 ,52,$123 ,$162 ,$126 ,36,"1,268",174,,,
기타비용,$8 ,$12 ,$97 ,$7 ,$11 ,$25 ,$15 ,$26 ,($30),$12 ,15,$15 ,($88),$434 ,-522,112,-406,,,
감가상각비,$4 ,$4 ,$0 ,$5 ,$4 ,$4 ,$4 ,$4 ,$4 ,$4 ,4,$4 ,$4 ,$4 ,0,46,-1,,,
영업이익,($158),($109),($5),($60),$13 ,($70),($219),($237),($259),($389),46,($53),($492),($98),-394,"($2,184)","-2,266",,,
영업이익율,적자,적자,적자,적자,0.80%,적자,적자,적자,적자,적자,1.50%,적자,적자,적자,적자,적자,적자,,,
